,id,room_type,price,calculated_host_listings_count,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,cancellation_policy,Wifi,Heating,Kitchen,Essentials,Washer,Smoke detector,Hangers,Hair dryer,TV,Iron,Shampoo,Laptop friendly workspace,Hot water,Elevator,Family/kid friendly,Internet,Dryer,Refrigerator,Bed linens,Dishes and silverware,Cable TV,Cooking basics,Coffee maker
114,54377,0,61,1,1,100,1,3,1.0,1.0,1.0,4,22.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1
115,55071,0,110,2,3,89,1,2,1.0,1.0,1.0,4,25.0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
116,55239,0,360,1,2,100,1,4,2.0,1.0,2.0,4,150.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
117,55348,0,117,5,2,90,1,2,1.0,0.0,1.0,4,60.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
118,56662,0,150,1,2,100,1,5,1.5,2.0,2.0,4,35.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
120,57766,0,630,2,2,100,13,14,2.0,5.0,8.0,4,150.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
122,59182,0,65,1,1,90,1,2,1.0,1.0,1.0,3,40.0,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
123,59508,0,99,1,2,100,1,6,2.0,3.0,3.0,4,100.0,3,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
124,59959,0,120,1,2,100,1,4,1.0,1.0,1.0,4,40.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
125,60165,0,70,1,1,100,1,4,1.0,1.0,2.0,4,30.0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0
127,61259,0,103,1,2,100,1,2,1.0,1.0,1.0,4,40.0,3,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
128,61453,0,105,5,2,90,1,5,1.0,2.0,2.0,4,50.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
129,61459,0,80,1,3,100,1,4,1.0,1.0,2.0,2,30.0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1
130,62410,0,60,1,2,100,1,4,1.0,1.0,1.0,4,40.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
131,62622,0,290,1,1,100,1,6,2.0,3.0,4.0,4,0.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
132,63202,0,44,3,2,92,1,1,1.0,1.0,1.0,3,20.0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
133,63480,0,160,1,3,100,1,3,1.0,1.0,1.0,4,40.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
134,63524,0,80,1,2,100,1,4,1.0,1.0,3.0,4,52.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0
136,63881,0,130,5,3,100,1,4,1.0,1.0,2.0,4,50.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0
137,65916,0,100,1,3,100,1,2,1.0,1.0,1.0,4,50.0,3,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
140,69588,0,95,1,3,100,1,2,1.0,0.0,1.0,4,50.0,3,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0
141,70586,0,139,2,2,100,1,3,1.5,1.0,2.0,4,80.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
143,71495,0,60,1,2,100,1,1,1.0,1.0,1.0,4,15.0,3,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0
144,71719,0,180,1,1,100,1,2,1.0,1.0,0.0,4,100.0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
