,id,room_type,price,minimum_nights_x,number_of_reviews,reviews_per_month,calculated_host_listings_count,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,minimum_nights_y,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,group
21668.0,13127958.0,0.0,100.0,3.0,41.0,1.25,1.0,2.0,100.0,1.0,3.0,1.0,1.0,2.0,4.0,50.0,3.0,6.0,3.0,3.0,6.0,6.0,89.0,9.0,9.0,10.0,10.0,10.0,9.0,0.0,3.0
21675.0,13134495.0,0.0,170.0,4.0,23.0,0.67,1.0,1.0,100.0,1.0,4.0,2.5,2.0,3.0,4.0,70.0,4.0,45.0,4.0,4.0,45.0,45.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0
21693.0,13137507.0,0.0,67.0,2.0,56.0,1.58,2.0,3.0,100.0,1.0,2.0,1.0,0.0,2.0,4.0,28.0,2.0,29.0,2.0,2.0,29.0,29.0,91.0,10.0,9.0,10.0,10.0,10.0,10.0,1.0,1.0
21695.0,13139454.0,0.0,80.0,3.0,19.0,0.56,1.0,3.0,100.0,1.0,2.0,1.0,1.0,2.0,4.0,50.0,3.0,1125.0,3.0,3.0,1125.0,1125.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0
21698.0,13140216.0,0.0,125.0,2.0,3.0,0.18,1.0,3.0,100.0,1.0,2.0,1.0,1.0,1.0,4.0,60.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0
21701.0,13143620.0,1.0,45.0,29.0,19.0,0.54,2.0,1.0,86.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,29.0,1125.0,29.0,29.0,1125.0,1125.0,86.0,10.0,8.0,10.0,10.0,10.0,9.0,1.0,1.0
21704.0,13144615.0,0.0,105.0,30.0,312.0,8.97,2.0,3.0,100.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,30.0,300.0,1.0,30.0,300.0,300.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,0.0
21708.0,13146124.0,1.0,34.0,4.0,6.0,0.17,2.0,1.0,92.0,1.0,1.0,0.5,1.0,1.0,4.0,15.0,4.0,15.0,4.0,4.0,15.0,15.0,88.0,9.0,9.0,10.0,10.0,10.0,10.0,1.0,1.0
21719.0,13147354.0,0.0,75.0,3.0,18.0,0.52,1.0,1.0,90.0,1.0,3.0,1.0,1.0,1.0,4.0,30.0,3.0,1125.0,3.0,3.0,1125.0,1125.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0
21726.0,13148999.0,0.0,100.0,1.0,149.0,4.33,1.0,3.0,100.0,1.0,4.0,1.0,1.0,2.0,4.0,30.0,1.0,40.0,1.0,1.0,40.0,40.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0
21728.0,13149615.0,1.0,52.0,1.0,327.0,9.23,1.0,1.0,100.0,1.0,2.0,1.0,1.0,2.0,4.0,0.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,0.0
21730.0,13150465.0,0.0,70.0,2.0,2.0,0.12,1.0,0.0,33.0,1.0,4.0,1.0,1.0,2.0,4.0,60.0,2.0,15.0,2.0,2.0,15.0,15.0,90.0,10.0,7.0,10.0,10.0,8.0,10.0,2.0,2.0
21731.0,13150776.0,0.0,286.0,2.0,59.0,1.67,6.0,2.0,95.0,1.0,5.0,1.0,1.0,4.0,4.0,80.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,2.0,1.0
21735.0,13151465.0,0.0,93.0,2.0,40.0,1.12,1.0,1.0,67.0,1.0,2.0,1.0,0.0,1.0,4.0,50.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.0,1.0
21740.0,13151877.0,0.0,55.0,2.0,6.0,0.19,2.0,2.0,90.0,1.0,2.0,1.0,0.0,1.0,3.0,10.0,2.0,365.0,2.0,2.0,365.0,365.0,92.0,10.0,10.0,10.0,10.0,8.0,8.0,2.0,1.0
21742.0,13151954.0,0.0,140.0,2.0,28.0,0.83,1.0,2.0,100.0,1.0,6.0,1.0,4.0,4.0,4.0,60.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0,1.0
21747.0,13152718.0,0.0,110.0,7.0,5.0,0.15,1.0,0.0,25.0,1.0,4.0,1.0,2.0,3.0,4.0,50.0,7.0,15.0,7.0,7.0,15.0,15.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0
21748.0,13152868.0,0.0,260.0,6.0,9.0,0.26,2.0,2.0,100.0,1.0,4.0,1.0,2.0,2.0,4.0,120.0,6.0,30.0,6.0,6.0,30.0,30.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,2.0,3.0
21754.0,13157514.0,0.0,50.0,15.0,8.0,0.25,1.0,1.0,75.0,1.0,2.0,1.0,1.0,1.0,4.0,50.0,15.0,1125.0,15.0,15.0,1125.0,1125.0,90.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,3.0
21755.0,13159283.0,0.0,269.0,3.0,15.0,0.6,1.0,1.0,100.0,1.0,6.0,3.0,4.0,6.0,4.0,110.0,3.0,15.0,3.0,3.0,15.0,15.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,3.0
21761.0,13160588.0,0.0,88.0,4.0,9.0,1.21,1.0,2.0,100.0,1.0,3.0,1.0,1.0,1.0,4.0,27.0,4.0,1125.0,4.0,4.0,1125.0,1125.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,2.0,1.0
21764.0,13161244.0,1.0,57.0,1.0,19.0,0.62,1.0,2.0,100.0,1.0,2.0,1.0,1.0,1.0,4.0,10.0,1.0,30.0,1.0,1.0,30.0,30.0,95.0,9.0,10.0,10.0,10.0,9.0,9.0,2.0,1.0
21765.0,13162125.0,0.0,250.0,4.0,45.0,1.28,1.0,3.0,100.0,6.0,4.0,1.0,1.0,2.0,4.0,50.0,4.0,1125.0,4.0,4.0,1125.0,1125.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0
21768.0,13162782.0,0.0,80.0,3.0,80.0,2.31,1.0,3.0,100.0,1.0,2.0,1.0,0.0,1.0,3.0,20.0,3.0,1125.0,3.0,3.0,1125.0,1125.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,2.0,1.0
21769.0,13162822.0,0.0,49.0,270.0,13.0,0.57,2.0,3.0,100.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,270.0,365.0,2.0,270.0,365.0,365.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0
21773.0,13163309.0,0.0,95.0,7.0,7.0,0.2,1.0,0.0,33.0,1.0,4.0,1.0,1.0,2.0,4.0,40.0,7.0,1125.0,7.0,7.0,1125.0,1125.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0
21774.0,13163856.0,0.0,70.0,2.0,21.0,0.6,1.0,3.0,100.0,1.0,3.0,1.0,1.0,2.0,4.0,40.0,2.0,40.0,2.0,2.0,40.0,40.0,94.0,10.0,10.0,10.0,10.0,8.0,10.0,1.0,1.0
21775.0,13163874.0,0.0,92.0,3.0,72.0,2.01,1.0,3.0,100.0,1.0,4.0,1.0,1.0,2.0,4.0,25.0,3.0,1125.0,3.0,3.0,1125.0,1125.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0
21778.0,13164819.0,0.0,110.0,2.0,1.0,0.03,1.0,2.0,100.0,1.0,4.0,1.0,2.0,3.0,4.0,30.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,80.0,10.0,6.0,10.0,10.0,8.0,8.0,0.0,3.0
21780.0,13165246.0,0.0,95.0,1.0,129.0,3.7,3.0,3.0,96.0,1.0,4.0,1.0,1.0,1.0,4.0,50.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,90.0,10.0,8.0,10.0,10.0,10.0,9.0,2.0,1.0
21787.0,13168981.0,0.0,250.0,4.0,113.0,3.18,1.0,2.0,90.0,1.0,5.0,2.0,1.0,3.0,4.0,80.0,4.0,1124.0,2.0,6.0,1124.0,1124.0,93.0,10.0,9.0,9.0,9.0,10.0,9.0,2.0,1.0
21792.0,13170204.0,0.0,23.0,30.0,56.0,1.57,1.0,2.0,70.0,1.0,1.0,0.5,1.0,1.0,4.0,30.0,30.0,365.0,30.0,30.0,365.0,365.0,76.0,8.0,8.0,9.0,8.0,9.0,8.0,2.0,3.0
21793.0,13170280.0,0.0,85.0,2.0,35.0,1.0,1.0,1.0,70.0,1.0,2.0,1.0,1.0,1.0,4.0,25.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,2.0,1.0
21796.0,13171824.0,0.0,50.0,4.0,11.0,0.31,1.0,2.0,100.0,1.0,1.0,1.0,1.0,1.0,4.0,50.0,4.0,1125.0,4.0,4.0,1125.0,1125.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0
21800.0,13179860.0,0.0,35.0,4.0,21.0,0.6,1.0,2.0,83.0,1.0,2.0,1.0,1.0,0.0,3.0,10.0,4.0,15.0,4.0,4.0,15.0,15.0,94.0,10.0,9.0,10.0,10.0,10.0,10.0,0.0,1.0
21805.0,13181852.0,0.0,57.0,3.0,47.0,1.32,1.0,3.0,100.0,1.0,2.0,1.0,0.0,1.0,4.0,15.0,3.0,25.0,3.0,3.0,25.0,25.0,94.0,9.0,9.0,10.0,10.0,10.0,9.0,0.0,1.0
21807.0,13182190.0,0.0,100.0,4.0,11.0,0.31,1.0,3.0,100.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,4.0,1125.0,4.0,4.0,1125.0,1125.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0
21808.0,13182283.0,0.0,60.0,3.0,3.0,0.08,3.0,3.0,100.0,1.0,2.0,1.0,1.0,1.0,4.0,50.0,3.0,21.0,3.0,3.0,21.0,21.0,93.0,10.0,10.0,9.0,9.0,9.0,9.0,2.0,3.0
21813.0,13184155.0,0.0,85.0,1.0,51.0,1.45,1.0,2.0,100.0,1.0,3.0,1.0,1.0,1.0,4.0,30.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,1.0
21817.0,13184267.0,1.0,29.0,1.0,112.0,3.18,2.0,3.0,100.0,1.0,1.0,1.0,0.0,1.0,4.0,5.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,94.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,0.0
