,address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,geometry
4134,"46 Rue de Poitou, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251670,251670,48.861819,2.361584,Paris,La Galerie de L'instant,5.0,,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251670,,POINT (2.361584 48.861819)
4135,"7 Boulevard des Filles du Calvaire, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251676,251676,48.861587,2.366849,Paris,Acabas,1.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251676,,POINT (2.366849 48.861587)
4136,"3 Rue Debelleyme, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251682,251682,48.860427,2.364134,Paris,Galerie Gosserez,1.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251682,,POINT (2.364134 48.860427)
4137,"11 Rue Sainte-Anastase, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251707,251707,48.859762,2.363482,Paris,Nuke,1.0,,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251707,,POINT (2.363482 48.859762)
4138,"6 Rue des Coutures Saint-Gervais, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251714,251714,48.859904,2.36269,Paris,Galerie Duboys,1.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251714,,POINT (2.36269 48.859904)
4139,"68 Rue de la Verrerie, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251733,251733,48.858646,2.351398,Paris,Thai Home Spa,5.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251733,,POINT (2.351398 48.858646)
4140,"14 Rue Saint-Denis, PARIS 01, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251734,251734,48.859043,2.34778,Paris,Le Klub,5.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251734,,POINT (2.34778 48.859043)
4141,"54 Rue de la Verrerie, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251737,251737,48.8582,2.352412,Paris,Galerie de France,1.0,,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251737,,POINT (2.352412 48.8582)
4142,"20 Rue du Temple, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251742,251742,48.858652,2.353526,Paris,Le nouveau LATINA,5.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251742,,POINT (2.353526 48.858652)
4143,"26 Rue du Roi de Sicile, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251744,251744,48.856208,2.358511,Paris,De Bouche à Oreille,1.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251744,,POINT (2.358511 48.856208)
4144,"30 Rue du Roi de Sicile, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251749,251749,48.856254,2.35828,Paris,So What,1.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251749,,POINT (2.35828 48.856254)
4145,"17 Rue Geoffroy l'Asnier, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=251760,251760,48.854885,2.356379,Paris,Mémorial de la Shoah,5.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=251760,,POINT (2.356379 48.854885)
