,id,room_type,price,calculated_host_listings_count,latitude,longitude,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,cancellation_policy,Wifi,Heating,Kitchen,Essentials,Washer,Smoke detector,Hangers,Hair dryer,TV,Iron,Shampoo,Laptop friendly workspace,Hot water,Elevator,Family/kid friendly,Internet,Dryer,Refrigerator,Bed linens,Dishes and silverware,Cable TV,Cooking basics,Coffee maker,label
176,100779,1,60,1,48.86232,2.37465,1,73,1,2,1,1,1,4,20,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0
177,101682,0,50,1,48.82671,2.35568,1,100,1,1,1,1,1,4,35,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0
180,107038,0,100,1,48.88569,2.34514,3,100,1,4,1,2,2,4,0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0
182,108591,0,449,2,48.87283,2.29638,1,100,1,5,2,2,5,4,120,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2
183,109161,0,120,1,48.84473,2.35309,2,100,1,2,1,1,1,4,40,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0
184,110322,0,150,2,48.84023,2.34573,2,100,1,4,1,1,2,4,50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0
185,111270,0,60,2,48.87961,2.29445,3,100,1,3,1,1,1,4,0,3,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0
186,113011,0,45,1,48.87249,2.39491,2,100,1,2,1,1,1,4,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
187,114543,0,95,1,48.84953,2.29022,2,100,1,2,1,1,1,4,30,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
188,115655,0,130,1,48.89269,2.36512,0,40,16,7,1,3,3,4,50,3,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
189,118731,0,49,2,48.89509,2.32202,2,92,1,3,1,1,2,4,40,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
191,120494,0,69,1,48.83063,2.35377,3,100,1,2,1,1,1,4,40,3,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
192,121893,0,109,1,48.86806,2.34744,2,100,16,2,1,1,1,4,50,3,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
193,122179,0,110,1,48.86541,2.36491,2,100,1,3,1,1,2,4,30,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
